grant_id,title,year,first_author
BB/M028976/1,Introducing affinity and selectivity into galectin-targeting nanoparticles with fluorinated glycan ligands.,2020,Richards SJ
ST/L000296/1,Charged Higgs boson production via c b -fusion at the Large Hadron Collider,2020,Hernández-Sánchez J
NE/J004332/1,Predictable changes in fish school characteristics due to a tidal turbine support structure,2019,Williamson B
EP/P020194/1,DFT calculation of oxygen adsorption on platinum nanoparticles: coverage and size effects.,2018,Verga LG
BB/F007450/1,Mouse maternal protein restriction during preimplantation alone permanently alters brain neuron proportion and adult short-term memory,2018,Gould J
EP/R006202/1,An optically multiplexed single-shot time-resolved probe of laser-plasma dynamics.,2019,Davidson ZE
NE/L012936/1,Seismic anisotropy and mantle deformation in NW Iran inferred from splitting measurements of SK(K)S and direct S phases,2021,Arvin S
EP/H021388/1,The effect of fluorination on the surface structure of truxenones,2016,Rochford L
EP/V03474X/1,Spreading and Structural Balance on Signed Networks,2024,Tian Y
EP/T033568/1,'ChatGPT did my homework': lessons learnt from embedding a chatbot in undergraduate coursework,2025,Elson L
EP/K005693/1,Dry-Spun Silk Produces Native-Like Fibroin Solutions.,2016,Boulet-Audet M
EP/M020517/1,Observation of Topological Electronic Structure in Quasi-1D Superconductor TaSe3,2020,Chen C
MC_UU_12015/1,Descriptive epidemiology of physical activity energy expenditure in UK adults (The Fenland study).,2019,Lindsay T
EP/P018998/1,Development and characterisation of acoustofluidic devices using detachable electrodes made from PCB.,2020,Mikhaylov R
BB/L014130/1,Engineering Recombinant Virus-like Nanoparticles from Plants for Cellular Delivery.,2017,Brillault L
ST/S00033X/1,Star cluster progenitors are dynamically decoupled from their parent molecular clouds,2023,Peretto N
EP/P020259/1,RNA length has a non-trivial effect in the stability of biomolecular condensates formed by RNA-binding proteins.,2022,Sanchez-Burgos I
EP/R008531/1,Vibration analysis of piezoelectric Kirchhoff-Love shells based on Catmull-Clark subdivision surfaces,2022,Liu Z
BB/P019854/1,Daily rhythm in cortical chloride homeostasis underpins functional changes in visual cortex excitability.,2023,Pracucci E
ES/N003721/1,What works for wellbeing in culture and sport? Report of a DELPHI process to support coproduction and establish principles and parameters of an evidence review.,2017,Daykin N
NE/V003917/1,"Production and Use of Ceramics in the First Millennium BC: Jebel Moya, Sudan",2023,Valancius M
NE/N018079/1,Exploring constraints on a wetland methane emission ensemble (WetCHARTs) using GOSAT observations,2020,Parker R
EP/K034154/1,Dynamics of the Desai-Zwanzig model in multiwell and random energy landscapes,2019,Gomes S
EP/V062654/1,ACEpotentials.jl: A Julia implementation of the atomic cluster expansion.,2023,Witt WC
BB/V004484/1,Direct and indirect effects of fire on parasites in an African savanna,2023,Donaldson J
BB/R014884/1,Ecological and evolutionary solutions to the plasmid paradox.,2022,Brockhurst MA
EP/N510129/1,Bilevel hyperparameter optimization for support vector classification: theoretical analysis and a solution method,2022,Li Q
NE/L012405/1,Seasonal velocity patterns provide insights for the soft-bed subglacial hydrology continuum,2025,Hart J
ES/S001980/1,Participatory research in and against time,2021,Rosen R
EP/K003569/1,QSAR analysis of substituent effects on tambjamine anion transporters.,2016,Knight NJ
EP/R042578/1,Optical and RIN Spectrum Improvements in Necked Waveguide High-Power DFB Laser Diode,2022,Liu Y
EP/G007713/1,Aerosol droplet optical trap loading using surface acoustic wave nebulization.,2013,Anand S
MR/V02504X/1,Extreme value analysis of wind droughts in Great Britain,2024,Potisomporn P
EP/N014499/1,Mathematical modelling and statistical analysis of indocyanine green and other biomarkers of hepatic function and drug-induced liver injury,2020,Leedale J
BB/L018845/1,&quot;He Who Relies on His Brother's Property Dies Poor&quot;: The Complex Narratives of Livestock Care in Northern Tanzania.,2021,Davis A
EP/R027129/1,Photocatalytic Reforming of Biomass: What Role Will the Technology Play in Future Energy Systems,2022,Skillen N
BB/S008039/1,An ultra-conserved poison exon in the Tra2b gene encoding a splicing activator is essential for male fertility and meiotic cell division,2025,Dalgliesh C
EP/N00762X/1,High-speed silicon Michelson interferometer modulator and streamlined IMDD PAM-4 transmission of Mach-Zehnder modulators for the 2 µm wavelength band.,2021,Cao W
EP/N034872/1,"Fragmented monopole crystal, dimer entropy, and Coulomb interactions in Dy 2 Ir 2 O 7",2020,Cathelin V
EP/I032517/1,Correlation-Driven Transient Hole Dynamics Resolved in Space and Time in the Isopropanol Molecule,2021,Barillot T
EP/K502315/1,A Prototype Antibody-based Biosensor for Measurement of Salivary MMP-8 in Periodontitis using Surface Acoustic Wave Technology.,2019,Taylor JJ
MR/R015651/1,3D Patterning within Hydrogels for the Recreation of Functional Biological Environments,2021,Primo G
EP/V000462/1,RENOWNED: A Real-Time Anomaly Detection and Mitigation Framework in Edge-Enabled IoV,2025,Pal C
BB/N002628/1,TOPII and chromosome movement help remove interlocks between entangled chromosomes during meiosis.,2018,Martinez-Garcia M
ST/P000312/1,Gas-phase Synthesis of Silaformaldehyde (H 2 SiO) and Hydroxysilylene (HSiOH) in Outflows of Oxygen-rich Asymptotic Giant Branch Stars,2021,He C
EP/S031863/1,"Smart local energy systems (SLES): A framework for exploring transition, context, and impacts",2021,Ford R
EP/V026690/1,Ultrafast dynamics of fluorene initiated by highly intense laser fields.,2024,Garg D
EP/J000345/2,Investigation of performance and emission characteristics of a biogas fuelled electric generator integrated with solar concentrated photovoltaic system,2016,Reddy K
MR/N00583X/1,Annotation and detection of drug effects in text for pharmacovigilance.,2018,Thompson P
EP/X011879/1,Totally deranged elements of almost simple groups and invariable generating sets,2024,Harper S
EP/M013472/1,Analyzing causal structures using Tsallis entropies,2019,Vilasini V
EP/G054940/1,Relativistic Plasma Polarizer: Impact of Temperature Anisotropy on Relativistic Transparency.,2015,Stark DJ
NE/C512961/1,Variability of particulate flux over the Mid-Atlantic Ridge,2013,Abell R.E.
ES/N001982/1,"Of sacraments, sacramentals and anthropology: is anthropological explanation sacramental?",2017,Naraindas H
EP/K016792/1,Mesoscale design of multifunctional 3D graphene networks,2016,Sherrell P
EP/P024807/1,Endogenous Nanoparticles Strain Perovskite Host Lattice Providing Oxygen Capacity and Driving Oxygen Exchange and CH 4 Conversion to Syngas,2020,Kousi K
EP/P011500/1,Sono-exfoliated graphene-like activated carbon from hazelnut shells for flexible supercapacitors,2022,Reddygunta K
MR/W029502/1,"Randomised, placebo-controlled, double-blinded, four-way crossover trial to demonstrate the comparative pharmacodynamic equivalence of a non-invasive diagnostic test for adrenal insufficiency in a healthy population: the STARLIT-2 study protocol.",2024,Date KL
EP/J017361/1,Emergent Properties of an Organic Semiconductor Driven by its Molecular Chirality.,2017,Yang Y
EP/L017008/1,Judicious Heteroatom Doping Produces High-Performance Deep-Blue/Near-UV Multiresonant Thermally Activated Delayed Fluorescence OLEDs.,2023,Suresh SM
NE/R013128/1,Managing taste and odour metabolite production in drinking water reservoirs: The importance of ammonium as a key nutrient trigger.,2019,Perkins RG
EP/V009451/2,Polysulfone nanofiber-modified composite laminates: Investigation of mode-I fatigue behavior and damage mechanisms,2023,Mohammadi R
ES/N01779X/1,How Can Digital Personal(ized) Books Enrich the Language Arts Curriculum?,2017,Kucirkova N
MR/S014535/1,Mobile technologies for palliative cancer care in Uganda: Qualitative secondary analysis of health professional perspectives,2022,Karera M
BB/N013344/1,Does sex really matter? Explaining intraspecies variation in ocean acidification responses.,2017,Ellis RP
BBS/E/F/000PR10346,The Origin of Plasma-Derived Bacterial Extracellular Vesicles in Healthy Individuals and Patients with Inflammatory Bowel Disease: A Pilot Study.,2021,Jones E
MR/J003069/1,Neutrophil-derived alpha defensins control inflammation by inhibiting macrophage mRNA translation.,2016,Brook M
EP/M019195/1,A General Route to Bicyclo[1.1.1]pentanes through Photoredox Catalysis,2019,Nugent J
ST/T001011/1,Transverse mass distribution and charge asymmetry in W boson production to third order in QCD,2023,Chen X
EP/L000202/1,Comparative atomic-scale hydration of the ceramide and phosphocholine headgroup in solution and bilayer environments.,2016,Gillams RJ
EP/J018139/1,Advanced Model Compounds for Understanding Acid-Catalyzed Lignin Depolymerization: Identification of Renewable Aromatics and a Lignin-Derived Solvent.,2016,Lahive CW
EP/P030343/1,Effects of DC Polarity and Field Uniformity on Breakdown of SF6 and C3F7CN/CO2 Mixture,2022,Bahdad F
EP/I038748/1,The effects of MTG catalysis on methanol mobility in ZSM-5,2018,Matam S
NE/R011389/1,"Rapid pre-eruptive mush reorganisation and atmospheric volatile emissions from the 12.9 ka Laacher See eruption, determined using apatite",2021,Humphreys M
ST/J000345/1,Source Redshifts from Gravitational-Wave Observations of Binary Neutron Star Mergers,2014,Messenger C
EP/X017273/1,Role of flow structures on the deposition of low-inertia particles in turbulent pipe flow,2024,Schlander R
MR/T020415/1,"Establishing the selective phospholipid membrane coordination, permeation and lysis properties for a series of 'druggable' supramolecular self-associating antimicrobial amphiphiles.",2022,Boles JE
BB/I002278/1,High Throughput Field Phenotyping of Wheat Plant Height and Growth Rate in Field Plot Trials Using UAV Based Remote Sensing,2016,Holman F
EP/N009533/1,"Covalent grafting of molecular catalysts on C3N x H y as robust, efficient and well-defined photocatalysts for solar fuel synthesis.",2020,Windle CD
BB/J011827/1,Nitrogen uptake and remobilization from pre- and post-anthesis stages contribute towards&nbsp;grain yield and grain protein concentration in wheat grown in limited nitrogen conditions,2023,Sharma S
EP/M00306X/1,Perovskite Srx(Bi1-xNa0.97-xLi0.03)0.5TiO3 ceramics with polar nano regions for high power energy storage,2018,Wu J
EP/L011018/1,Distributed Methods for Computing Approximate Equilibria,2018,Czumaj A
EP/R00689X/1,The Impact of the Length of Fluorescent Fiber Concentrators on the Performance of VLC Receivers,2021,Ali W
EP/R032793/1,Beneficial effects of antisymmetric nonlinear damping with application to energy harvesting and vibration isolation under general inputs,2022,Zhu Y
EP/V047817/2,A guide to bullvalene stereodynamics,2024,Ives R
BB/K010999/1,Expansion of human mesenchymal stem/stromal cells on temporary liquid microcarriers.,2021,Hanga MP
BB/G009058/1,Evaluation of dimethyl sulfoxide (DMSO) as a mobile phase additive during top 3 label-free quantitative proteomics.,2015,Strzelecka D
ST/L000466/1,Diagrammatic insights into next-to-soft corrections,2014,White C
EP/P015840/1,A Wideband Differentially Driven Dual-Polarized Antenna by Using Integrated Six-Port Power Divider,2019,Wen L
EP/N01202X/2,Cubic GaN and InGaN/GaN quantum wells,2022,Binks D
MR/K019007/1,Broad-Spectrum Regulation of Nonreceptor Tyrosine Kinases by the Bacterial ADP-Ribosyltransferase EspJ.,2018,Pollard DJ
EP/F064551/1,Fully decomposable split graphs,2013,Broersma H
EP/K001698/1,Network-on-Chip Multicast Architectures Using Hybrid Wire and Surface-Wave Interconnects,2018,Karkar A
EP/R043787/1,Verifiable biology.,2023,Konur S
ST/J000477/1,Noncommutative spherically symmetric spacetimes at semiclassical order,2017,Fritz C
EP/R007438/1,Unraveling the Regimes of Interfacial Thermal Conductance at a Solid/Liquid Interface.,2024,El-Rifai A
MC_PC_16081,"Inclusion of Medium-Chain Triglyceride in Lipid-Based Formulation of Cannabidiol Facilitates Micellar Solubilization In Vitro, but In Vivo Performance Remains Superior with Pure Sesame Oil Vehicle.",2021,Feng W
BB/L014181/1,Dynein-2 intermediate chains play crucial but distinct roles in primary cilia formation and function.,2018,Vuolo L
EP/I001514/1,Impact of Citrate Ions on the Nucleation and Growth of Anhydrous CaCO 3,2017,Montanari G
NE/K014595/1,Shark tooth regeneration reveals common stem cell characters in both human rested lamina and ameloblastoma.,2019,Fraser GJ
EP/R010366/1,Thermodynamic Evolution of Cerium Oxide Nanoparticle Morphology Using Carbon Dioxide,2020,Symington A
EP/R00661X/1,First-cycle voltage hysteresis in Li-rich 3d cathodes associated with molecular O2 trapped in the bulk,2020,House R
BB/K00042X/1,"Assessing animal welfare: a triangulation of preference, judgement bias and other candidate welfare indicators",2022,Paul E
EP/P006892/1,Ethylenediamine series as additives to control the morphology of magnetite nanoparticles,2021,Norfolk L
NE/G000883/1,Acoustic levitation of pollen and visualisation of hygroscopic behaviour,2023,Mills S
ST/R000875/1,Space station biomining experiment demonstrates rare earth element extraction in microgravity and Mars gravity.,2020,Cockell CS
BBS/E/T/000PR9785,Combining computer vision and deep learning to enable ultra-scale aerial phenotyping and precision agriculture: A case study of lettuce production.,2019,Bauer A
NE/M006956/1,Landscape impacts on pollinator communities in temperate systems: evidence and knowledge gaps,2016,Senapathi D
EP/V050451/1,Integrable polynomial Hamiltonian systems and symmetric powers of plane algebraic curves,2021,Buchstaber V
EP/P02081X/1,Self-healing of cracks in mortars using novel PVA-coated pellets of different expansive agents,2020,Alghamri R
NE/L010518/1,A new precipitation and drought climatology based on weather patterns.,2018,Richardson D
ST/P002293/1,Magellanic satellites in ?CDM cosmological hydrodynamical simulations of the Local Group,2021,Santos-Santos I
BB/W020521/1,Behavioural Factors Influencing the Intention to Adopt Sheep Scab Control Measures in Northern Ireland.,2024,Adenuga AH
EP/N014189/1,The Geometry of Synchronization Problems and Learning Group Actions,2019,Gao T
EP/P020259/1,Multiscale mobility explains differential associations between the gross domestic product and COVID-19 transmission in Chinese cities.,2021,Xu XK
BB/M028291/1,An eQTL in the cystathionine beta synthase gene is linked to osteoporosis in laying hens.,2020,De Koning DJ
EP/T001062/1,Exact electronic states with shallow quantum circuits from global optimisation,2023,Burton H
EP/K035002/1,Ternary composite solid-state flexible supercapacitor based on nanocarbons/manganese dioxide/PEDOT:PSS fibres,2018,Garcia-Torres J
EP/N02785X/1,A comparison of presentation methods for conducting youth juries.,2019,Dowthwaite L
EP/S019138/1,Oxidative Coupling of Aldehydes with Alcohol for the Synthesis of Esters Promoted by Polystyrene-Supported N-Heterocyclic Carbene: Unraveling the Solvent Effect on the Catalyst Behavior Using NMR Relaxation.,2020,Di Carmine G
MR/L020149/1,A Partial Loss-of-Function Variant in AKT2 Is Associated With Reduced Insulin-Mediated Glucose Uptake in Multiple Insulin-Sensitive Tissues: A Genotype-Based Callback Positron Emission Tomography Study.,2018,Latva-Rasku A
EP/N510129/1,Planning spatial networks with Monte Carlo tree search,2023,Darvariu V
EP/P02744X/2,"A cross-linkable, organic down-converting material for white light emission from hybrid LEDs",2023,Yang H
ST/P00492X/1,Merger rate of black hole binaries from globular clusters: Theoretical error bars and comparison to gravitational wave data from GWTC-2,2020,Antonini F
EP/N010221/1,Performance of Adaptive Unstructured Mesh Modelling in Idealized Advection Cases over Steep Terrains,2018,Li J
AH/L014793/1,Whatever happened to the British 'B' movie? Micro-budget film-making and the death of the one-hour supporting feature in the early 1960s,2016,Mayne L
BB/T004789/1,Tetramerisation of the CRISPR ring nuclease Crn3/Csx3 facilitates cyclic oligoadenylate cleavage,2020,Athukoralage J
ST/L000520/1,Frame covariant nonminimal multifield inflation,2018,Karamitsos S
EP/L019655/1,"Greener Dye Synthesis: Continuous, Solvent-Free Synthesis of Commodity Perylene Diimides by Twin-Screw Extrusion.",2020,Cao Q
BB/H021817/2,The psychology of cooperation in animals: an ecological approach,2015,McAuliffe K
EP/N032888/1,Four-Dimensional Studies of Morphology Evolution in Lithium-Sulfur Batteries,2018,Tan C
NE/R013314/2,Let-Us Investigate; A Meta-Analysis of Influencing Factors on Lettuce Crop Yields within Controlled-Environment Agriculture Systems.,2023,Gargaro M
EP/P029892/1,The Magnetic Genome of Two-Dimensional van der Waals Materials.,2022,Wang QH
ST/P000541/1,Reproducing the CO-to-H2 conversion factor in cosmological simulations of Milky-Way-mass galaxies,2020,Keating L
EP/P020194/1,Understanding the limits to short-range order suppression in many-component disordered rock salt lithium-ion cathode materials,2023,Squires A
EP/H046410/1,Geodesic Information Flows: Spatially-Variant Graphs and Their Application to Segmentation and Fusion,2015,Cardoso M
EP/T005556/1,34th European Symposium on Computer Aided Process Engineering / 15th International Symposium on Process Systems Engineering,2024,Tirapelle M
EP/R028745/1,SHARPER-enhanced benchtop NMR: improving SNR by removing couplings and approaching natural linewidths.,2022,Dickson CL
EP/K03197X/1,Optical Detection of Distal Lung Enzyme Activity in Human Inflammatory Lung Disease.,2021,Megia-Fernandez A
ES/S007407/1,On the application of convex transforms to metric search,2020,Connor R
MR/T028904/1,MINPP1 prevents intracellular accumulation of the chelator inositol hexakisphosphate and is mutated in Pontocerebellar Hypoplasia,2020,Ucuncu E
EP/R011079/1,Title: experimental realisation of multi-qubit gates using electron paramagnetic resonance.,2023,Little EJ
BB/T003197/1,A single CAA interrupt in a DNA three-way junction containing a CAG repeat hairpin results in parity-dependent trapping.,2024,Cadden GM
EP/T001062/1,Efficient Hamiltonian programming in qubit arrays with nearest-neighbor couplings,2020,Tsunoda T
EP/V000217/1,"Polymorphic Solid Solutions in Molecular Crystals: Tips, Tricks, and Switches.",2023,Hill A
EP/J012823/1,Design and Fabrication of Suspended Indium Phosphide Waveguides for MEMS-Actuated Optical Buffering,2015,Ng W
MR/P015476/1,Nucleus classification in histology images using message passing network.,2022,Hassan T
EP/P012388/1,Spin-Vibronic Mechanism for Intersystem Crossing.,2018,Penfold TJ
EP/R035393/1,Incorporating Meta-Atom Interactions in Rapid Optimization of Large-Scale Disordered Metasurfaces Based on Deep Interactive Learning,2023,Ma Y
BB/M026140/1,Assessment of genetic diversity and population structure in cultured Australian Pacific oysters.,2019,Kijas JW
EP/P024904/1,Avalanches in Compressed Sandstone: Crackling Noise under Confinement,2019,Zhao Y
ES/P011306/1,Duration of Cultivation Has Varied Impacts on Soil Charge Properties in Different Agro-Ecological Zones of Ghana,2022,Neina D
ES/S012435/1,"Community-Supported Agriculture Networks in Wales and Central Germany: Scaling Up, Out, and Deep through Local Collaboration",2022,Bonfert B
EP/H040293/1,Analysis of bending wave transmission using beam tracing with advanced statistical energy analysis for periodic box-like structures affected by spatial filtering,2015,Wilson D
EP/G060738/1,Trap-induced losses in hybrid photovoltaics.,2014,Gao F
EP/K028960/1,Single-ion anisotropy and magnetic field response in the spin-ice materials Ho 2 Ti 2 O 7 and Dy 2 Ti 2 O 7,2015,Tomasello B
ES/V012444/1,No effect of apolipoprotein E polymorphism on MRI brain activity during movie watching.,2025,Raykov PP
MR/P008712/1,An eye tracking based virtual reality system for use inside magnetic resonance imaging systems.,2021,Qian K
ST/L000415/1,The geometry of the light-cone cell decomposition of moduli space,2015,Garner D
EP/S01280X/1,A flexible topo-optical sensing technology with ultra-high contrast.,2020,Wang C
NE/I020598/1,Temporal shifts and temperature sensitivity of avian spring migratory phenology: a phylogenetic meta-analysis.,2017,Usui T
